Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career,combined_text
Intermediate,Engineering,"Communication, Counseling",CFA Level 1,72,Business Analyst,"Intermediate Engineering Communication, Counseling CFA Level 1"
Master's,Business,"Machine Learning, MS Office, SQL",Mental Health Basics,65,Business Analyst,"Master's Business Machine Learning, MS Office, SQL Mental Health Basics"
Master's,Science,"Python, Accounting",Google Data Analytics,93,Business Analyst,"Master's Science Python, Accounting Google Data Analytics"
Bachelor's,Science,"Marketing, Communication, Financial Analysis",Tally ERP,70,Business Analyst,"Bachelor's Science Marketing, Communication, Financial Analysis Tally ERP"
Bachelor's,Science,Financial Analysis,Tally ERP,89,Business Analyst,Bachelor's Science Financial Analysis Tally ERP
Bachelor's,Psychology,"Python, Communication",Google Data Analytics,90,Research Scientist,"Bachelor's Psychology Python, Communication Google Data Analytics"
Matric,Computer Science,"Communication, Accounting, MS Office",Mental Health Basics,87,Research Scientist,"Matric Computer Science Communication, Accounting, MS Office Mental Health Basics"
Intermediate,Arts,"Machine Learning, Python",Mental Health Basics,65,Business Analyst,"Intermediate Arts Machine Learning, Python Mental Health Basics"
Matric,Arts,Data Analysis,Creative Writing,95,Software Engineer,Matric Arts Data Analysis Creative Writing
PhD,Finance,"Counseling, Financial Analysis, MS Office",Tally ERP,76,Research Scientist,"PhD Finance Counseling, Financial Analysis, MS Office Tally ERP"
PhD,Computer Science,"Communication, Accounting",Digital Marketing,71,ML Engineer,"PhD Computer Science Communication, Accounting Digital Marketing"
Matric,Science,"Python, Accounting, MS Office",Creative Writing,86,Software Engineer,"Matric Science Python, Accounting, MS Office Creative Writing"
Master's,Finance,Python,,63,Research Scientist,
Intermediate,Arts,"SQL, Marketing",CFA Level 1,84,Software Engineer,"Intermediate Arts SQL, Marketing CFA Level 1"
Master's,Finance,"Python, Accounting",CFA Level 1,68,Business Analyst,"Master's Finance Python, Accounting CFA Level 1"
Matric,Arts,Financial Analysis,Digital Marketing,71,Research Scientist,Matric Arts Financial Analysis Digital Marketing
Master's,Psychology,"Financial Analysis, Accounting, Marketing",Google Data Analytics,69,Research Scientist,"Master's Psychology Financial Analysis, Accounting, Marketing Google Data Analytics"
Matric,Engineering,"Machine Learning, Python",Mental Health Basics,61,Research Scientist,"Matric Engineering Machine Learning, Python Mental Health Basics"
Matric,Science,Communication,AWS Certified,85,Research Scientist,Matric Science Communication AWS Certified
Master's,Arts,"Data Analysis, Financial Analysis, Python",Digital Marketing,86,ML Engineer,"Master's Arts Data Analysis, Financial Analysis, Python Digital Marketing"
PhD,Engineering,Accounting,Creative Writing,63,Software Engineer,PhD Engineering Accounting Creative Writing
Intermediate,Business,"MS Office, Communication, Machine Learning",Creative Writing,92,Software Engineer,"Intermediate Business MS Office, Communication, Machine Learning Creative Writing"
Matric,Computer Science,"MS Office, Accounting",Tally ERP,61,Business Analyst,"Matric Computer Science MS Office, Accounting Tally ERP"
Master's,Psychology,"MS Office, Financial Analysis, SQL",Google Data Analytics,72,Business Analyst,"Master's Psychology MS Office, Financial Analysis, SQL Google Data Analytics"
Matric,Psychology,"Counseling, Communication, Accounting",Creative Writing,64,Software Engineer,"Matric Psychology Counseling, Communication, Accounting Creative Writing"
Intermediate,Engineering,MS Office,Mental Health Basics,63,Business Analyst,Intermediate Engineering MS Office Mental Health Basics
PhD,Psychology,"Python, Accounting",,78,Research Scientist,
Bachelor's,Commerce,"Communication, MS Office, Accounting",Tally ERP,79,Research Scientist,"Bachelor's Commerce Communication, MS Office, Accounting Tally ERP"
Matric,Commerce,Machine Learning,Tally ERP,61,Business Analyst,Matric Commerce Machine Learning Tally ERP
Bachelor's,Finance,"MS Office, Counseling",Tally ERP,84,ML Engineer,"Bachelor's Finance MS Office, Counseling Tally ERP"
Master's,Engineering,Marketing,Mental Health Basics,72,Research Scientist,Master's Engineering Marketing Mental Health Basics
Intermediate,Arts,Accounting,Creative Writing,95,ML Engineer,Intermediate Arts Accounting Creative Writing
Master's,Finance,"Financial Analysis, Machine Learning, Accounting",CFA Level 1,92,ML Engineer,"Master's Finance Financial Analysis, Machine Learning, Accounting CFA Level 1"
PhD,Computer Science,"Financial Analysis, MS Office, Counseling",Mental Health Basics,83,Business Analyst,"PhD Computer Science Financial Analysis, MS Office, Counseling Mental Health Basics"
Master's,Engineering,"Python, Financial Analysis, Marketing",Digital Marketing,94,Software Engineer,"Master's Engineering Python, Financial Analysis, Marketing Digital Marketing"
Intermediate,Science,SQL,Mental Health Basics,67,Business Analyst,Intermediate Science SQL Mental Health Basics
Bachelor's,Arts,"Machine Learning, MS Office",,80,Business Analyst,
Master's,Engineering,"Marketing, Counseling",Digital Marketing,69,Research Scientist,"Master's Engineering Marketing, Counseling Digital Marketing"
Matric,Commerce,Financial Analysis,,79,Research Scientist,
PhD,Psychology,"Counseling, Financial Analysis",CFA Level 1,74,ML Engineer,"PhD Psychology Counseling, Financial Analysis CFA Level 1"
Intermediate,Engineering,Data Analysis,Digital Marketing,71,ML Engineer,Intermediate Engineering Data Analysis Digital Marketing
Bachelor's,Science,"Financial Analysis, Accounting",Tally ERP,82,ML Engineer,"Bachelor's Science Financial Analysis, Accounting Tally ERP"
Master's,Computer Science,"Machine Learning, Communication, Marketing",Digital Marketing,69,Business Analyst,"Master's Computer Science Machine Learning, Communication, Marketing Digital Marketing"
Intermediate,Finance,"Machine Learning, Financial Analysis, MS Office",,87,Business Analyst,
Intermediate,Business,MS Office,Creative Writing,65,Business Analyst,Intermediate Business MS Office Creative Writing
Master's,Finance,"Python, MS Office, SQL",,77,Research Scientist,
Bachelor's,Commerce,MS Office,Creative Writing,81,ML Engineer,Bachelor's Commerce MS Office Creative Writing
Master's,Business,"MS Office, Python, SQL",CFA Level 1,71,ML Engineer,"Master's Business MS Office, Python, SQL CFA Level 1"
PhD,Finance,Data Analysis,Tally ERP,94,Business Analyst,PhD Finance Data Analysis Tally ERP
Matric,Finance,Python,Tally ERP,67,Software Engineer,Matric Finance Python Tally ERP
Matric,Psychology,"SQL, Data Analysis",AWS Certified,78,Business Analyst,"Matric Psychology SQL, Data Analysis AWS Certified"
PhD,Commerce,"Marketing, Data Analysis",Tally ERP,76,Business Analyst,"PhD Commerce Marketing, Data Analysis Tally ERP"
Bachelor's,Computer Science,"Marketing, MS Office, Financial Analysis",,81,Research Scientist,
PhD,Psychology,"Data Analysis, Machine Learning",Digital Marketing,92,Business Analyst,"PhD Psychology Data Analysis, Machine Learning Digital Marketing"
Master's,Engineering,"Accounting, Machine Learning, Communication",Google Data Analytics,91,Research Scientist,"Master's Engineering Accounting, Machine Learning, Communication Google Data Analytics"
Intermediate,Commerce,Marketing,Digital Marketing,73,ML Engineer,Intermediate Commerce Marketing Digital Marketing
Intermediate,Finance,"Counseling, Python",Tally ERP,62,ML Engineer,"Intermediate Finance Counseling, Python Tally ERP"
Master's,Engineering,"SQL, Communication",AWS Certified,85,Software Engineer,"Master's Engineering SQL, Communication AWS Certified"
Intermediate,Business,Marketing,Creative Writing,90,ML Engineer,Intermediate Business Marketing Creative Writing
Master's,Arts,"Marketing, Python, Accounting",CFA Level 1,88,Research Scientist,"Master's Arts Marketing, Python, Accounting CFA Level 1"
Intermediate,Psychology,SQL,Google Data Analytics,85,Research Scientist,Intermediate Psychology SQL Google Data Analytics
Matric,Arts,"Accounting, MS Office, Marketing",,65,Software Engineer,
Intermediate,Arts,"MS Office, Data Analysis",CFA Level 1,94,ML Engineer,"Intermediate Arts MS Office, Data Analysis CFA Level 1"
Master's,Arts,"SQL, Marketing, MS Office",Digital Marketing,87,ML Engineer,"Master's Arts SQL, Marketing, MS Office Digital Marketing"
PhD,Computer Science,"MS Office, Accounting",Google Data Analytics,72,Software Engineer,"PhD Computer Science MS Office, Accounting Google Data Analytics"
Master's,Business,Counseling,,87,Research Scientist,
PhD,Finance,"Machine Learning, Financial Analysis",Digital Marketing,82,Business Analyst,"PhD Finance Machine Learning, Financial Analysis Digital Marketing"
Matric,Science,Data Analysis,Mental Health Basics,86,Software Engineer,Matric Science Data Analysis Mental Health Basics
PhD,Computer Science,"Machine Learning, Python, Financial Analysis",CFA Level 1,72,ML Engineer,"PhD Computer Science Machine Learning, Python, Financial Analysis CFA Level 1"
Master's,Finance,"Data Analysis, Counseling, MS Office",Digital Marketing,66,Software Engineer,"Master's Finance Data Analysis, Counseling, MS Office Digital Marketing"
Bachelor's,Commerce,"Financial Analysis, Marketing",Google Data Analytics,81,Business Analyst,"Bachelor's Commerce Financial Analysis, Marketing Google Data Analytics"
Matric,Business,Counseling,Google Data Analytics,78,Business Analyst,Matric Business Counseling Google Data Analytics
Matric,Engineering,Marketing,Tally ERP,85,ML Engineer,Matric Engineering Marketing Tally ERP
PhD,Business,Communication,Google Data Analytics,93,Software Engineer,PhD Business Communication Google Data Analytics
Intermediate,Engineering,"Python, Marketing",Tally ERP,77,Software Engineer,"Intermediate Engineering Python, Marketing Tally ERP"
Matric,Finance,"Counseling, MS Office",Creative Writing,78,Business Analyst,"Matric Finance Counseling, MS Office Creative Writing"
Matric,Finance,Machine Learning,Tally ERP,63,ML Engineer,Matric Finance Machine Learning Tally ERP
Matric,Computer Science,"Marketing, Machine Learning, Communication",CFA Level 1,91,Business Analyst,"Matric Computer Science Marketing, Machine Learning, Communication CFA Level 1"
Bachelor's,Psychology,Counseling,Creative Writing,74,Business Analyst,Bachelor's Psychology Counseling Creative Writing
Master's,Business,Accounting,AWS Certified,73,Business Analyst,Master's Business Accounting AWS Certified
Master's,Computer Science,"SQL, Data Analysis",,77,Research Scientist,
Matric,Arts,Accounting,CFA Level 1,62,ML Engineer,Matric Arts Accounting CFA Level 1
Master's,Engineering,"Financial Analysis, MS Office",CFA Level 1,78,Business Analyst,"Master's Engineering Financial Analysis, MS Office CFA Level 1"
Intermediate,Business,"Accounting, Counseling",Google Data Analytics,71,Research Scientist,"Intermediate Business Accounting, Counseling Google Data Analytics"
PhD,Business,Financial Analysis,Tally ERP,89,Business Analyst,PhD Business Financial Analysis Tally ERP
PhD,Commerce,Financial Analysis,AWS Certified,72,Research Scientist,PhD Commerce Financial Analysis AWS Certified
Intermediate,Science,Machine Learning,CFA Level 1,78,Software Engineer,Intermediate Science Machine Learning CFA Level 1
Master's,Finance,"MS Office, Marketing",,66,Software Engineer,
Matric,Psychology,Financial Analysis,,94,Research Scientist,
Matric,Arts,"SQL, Accounting",Creative Writing,61,Software Engineer,"Matric Arts SQL, Accounting Creative Writing"
Master's,Arts,Communication,Tally ERP,94,Research Scientist,Master's Arts Communication Tally ERP
Bachelor's,Psychology,Financial Analysis,Google Data Analytics,66,Software Engineer,Bachelor's Psychology Financial Analysis Google Data Analytics
Intermediate,Arts,"Communication, Marketing, Python",,77,Business Analyst,
Matric,Psychology,Communication,Creative Writing,85,Business Analyst,Matric Psychology Communication Creative Writing
Matric,Business,"Accounting, Counseling, Financial Analysis",Digital Marketing,73,Research Scientist,"Matric Business Accounting, Counseling, Financial Analysis Digital Marketing"
Master's,Arts,Counseling,,62,Software Engineer,
Matric,Engineering,"MS Office, Accounting",CFA Level 1,62,Research Scientist,"Matric Engineering MS Office, Accounting CFA Level 1"
PhD,Commerce,Data Analysis,Digital Marketing,79,ML Engineer,PhD Commerce Data Analysis Digital Marketing
Master's,Commerce,"SQL, Data Analysis",Tally ERP,85,Research Scientist,"Master's Commerce SQL, Data Analysis Tally ERP"
Matric,Finance,Communication,Google Data Analytics,90,Business Analyst,Matric Finance Communication Google Data Analytics
Matric,Computer Science,Data Analysis,Digital Marketing,63,Business Analyst,Matric Computer Science Data Analysis Digital Marketing
Master's,Arts,"Communication, Financial Analysis, MS Office",AWS Certified,63,Research Scientist,"Master's Arts Communication, Financial Analysis, MS Office AWS Certified"
Matric,Finance,"SQL, Python, Counseling",,85,Research Scientist,
Intermediate,Computer Science,"MS Office, Accounting",CFA Level 1,87,Business Analyst,"Intermediate Computer Science MS Office, Accounting CFA Level 1"
Intermediate,Commerce,"Python, Counseling, Machine Learning",AWS Certified,64,Business Analyst,"Intermediate Commerce Python, Counseling, Machine Learning AWS Certified"
Bachelor's,Psychology,"Python, Accounting, Machine Learning",CFA Level 1,88,Research Scientist,"Bachelor's Psychology Python, Accounting, Machine Learning CFA Level 1"
Matric,Science,Communication,Google Data Analytics,68,Research Scientist,Matric Science Communication Google Data Analytics
Bachelor's,Science,"Python, Accounting, SQL",Tally ERP,81,ML Engineer,"Bachelor's Science Python, Accounting, SQL Tally ERP"
Intermediate,Science,"Data Analysis, Financial Analysis",CFA Level 1,67,ML Engineer,"Intermediate Science Data Analysis, Financial Analysis CFA Level 1"
Bachelor's,Business,Machine Learning,Tally ERP,62,Research Scientist,Bachelor's Business Machine Learning Tally ERP
Matric,Business,Python,,84,Software Engineer,
Matric,Business,"Machine Learning, Financial Analysis",Mental Health Basics,85,Research Scientist,"Matric Business Machine Learning, Financial Analysis Mental Health Basics"
Master's,Computer Science,Financial Analysis,Mental Health Basics,76,Business Analyst,Master's Computer Science Financial Analysis Mental Health Basics
PhD,Science,MS Office,CFA Level 1,80,Research Scientist,PhD Science MS Office CFA Level 1
Master's,Arts,"Accounting, Data Analysis, Machine Learning",CFA Level 1,72,Software Engineer,"Master's Arts Accounting, Data Analysis, Machine Learning CFA Level 1"
PhD,Arts,Machine Learning,CFA Level 1,62,Research Scientist,PhD Arts Machine Learning CFA Level 1
Bachelor's,Commerce,"Communication, Counseling",Tally ERP,92,Business Analyst,"Bachelor's Commerce Communication, Counseling Tally ERP"
Intermediate,Psychology,"MS Office, Python",Mental Health Basics,72,Business Analyst,"Intermediate Psychology MS Office, Python Mental Health Basics"
Bachelor's,Business,"Python, Financial Analysis, SQL",Mental Health Basics,73,Software Engineer,"Bachelor's Business Python, Financial Analysis, SQL Mental Health Basics"
Matric,Engineering,Python,Creative Writing,89,Business Analyst,Matric Engineering Python Creative Writing
Matric,Engineering,Financial Analysis,Mental Health Basics,80,Software Engineer,Matric Engineering Financial Analysis Mental Health Basics
Master's,Commerce,"Machine Learning, Communication, SQL",Creative Writing,77,Software Engineer,"Master's Commerce Machine Learning, Communication, SQL Creative Writing"
Matric,Psychology,Counseling,,65,Software Engineer,
Intermediate,Business,"Machine Learning, Financial Analysis, MS Office",Tally ERP,78,Business Analyst,"Intermediate Business Machine Learning, Financial Analysis, MS Office Tally ERP"
Bachelor's,Psychology,"Communication, Machine Learning, Counseling",Tally ERP,68,Business Analyst,"Bachelor's Psychology Communication, Machine Learning, Counseling Tally ERP"
Bachelor's,Engineering,"SQL, Data Analysis, Counseling",AWS Certified,81,ML Engineer,"Bachelor's Engineering SQL, Data Analysis, Counseling AWS Certified"
Bachelor's,Commerce,"SQL, Data Analysis",Mental Health Basics,70,Research Scientist,"Bachelor's Commerce SQL, Data Analysis Mental Health Basics"
Master's,Science,"SQL, Marketing, MS Office",Mental Health Basics,81,ML Engineer,"Master's Science SQL, Marketing, MS Office Mental Health Basics"
Master's,Psychology,Financial Analysis,Tally ERP,95,ML Engineer,Master's Psychology Financial Analysis Tally ERP
Intermediate,Business,Machine Learning,Tally ERP,68,ML Engineer,Intermediate Business Machine Learning Tally ERP
Bachelor's,Commerce,"MS Office, Accounting, Python",Google Data Analytics,93,Business Analyst,"Bachelor's Commerce MS Office, Accounting, Python Google Data Analytics"
Intermediate,Psychology,"Data Analysis, Communication, MS Office",CFA Level 1,90,Business Analyst,"Intermediate Psychology Data Analysis, Communication, MS Office CFA Level 1"
Bachelor's,Psychology,SQL,Tally ERP,71,Software Engineer,Bachelor's Psychology SQL Tally ERP
Bachelor's,Commerce,Python,AWS Certified,86,Research Scientist,Bachelor's Commerce Python AWS Certified
PhD,Finance,"Communication, Financial Analysis, Data Analysis",Tally ERP,74,ML Engineer,"PhD Finance Communication, Financial Analysis, Data Analysis Tally ERP"
Master's,Commerce,"SQL, Accounting, MS Office",AWS Certified,64,Research Scientist,"Master's Commerce SQL, Accounting, MS Office AWS Certified"
PhD,Business,"Machine Learning, Accounting",Tally ERP,87,ML Engineer,"PhD Business Machine Learning, Accounting Tally ERP"
Intermediate,Business,"Python, Accounting, Communication",Tally ERP,74,ML Engineer,"Intermediate Business Python, Accounting, Communication Tally ERP"
Master's,Science,Machine Learning,,87,ML Engineer,
Matric,Engineering,"Python, Financial Analysis",Creative Writing,67,ML Engineer,"Matric Engineering Python, Financial Analysis Creative Writing"
Intermediate,Psychology,Communication,AWS Certified,82,Software Engineer,Intermediate Psychology Communication AWS Certified
Intermediate,Psychology,Data Analysis,Digital Marketing,94,Software Engineer,Intermediate Psychology Data Analysis Digital Marketing
PhD,Science,"Counseling, Data Analysis",AWS Certified,89,Research Scientist,"PhD Science Counseling, Data Analysis AWS Certified"
Matric,Science,SQL,,90,Software Engineer,
Master's,Psychology,"MS Office, Communication, Python",CFA Level 1,89,Software Engineer,"Master's Psychology MS Office, Communication, Python CFA Level 1"
Bachelor's,Engineering,"Data Analysis, Financial Analysis",Google Data Analytics,72,Software Engineer,"Bachelor's Engineering Data Analysis, Financial Analysis Google Data Analytics"
Master's,Science,Python,Tally ERP,64,Software Engineer,Master's Science Python Tally ERP
Master's,Psychology,SQL,AWS Certified,64,Research Scientist,Master's Psychology SQL AWS Certified
Matric,Psychology,"Data Analysis, MS Office",Digital Marketing,71,Software Engineer,"Matric Psychology Data Analysis, MS Office Digital Marketing"
Bachelor's,Business,"Financial Analysis, Data Analysis, Communication",,80,ML Engineer,
Master's,Science,Machine Learning,,92,Software Engineer,
Master's,Computer Science,"Marketing, Machine Learning",AWS Certified,90,Business Analyst,"Master's Computer Science Marketing, Machine Learning AWS Certified"
Bachelor's,Arts,"Counseling, MS Office",Google Data Analytics,89,Research Scientist,"Bachelor's Arts Counseling, MS Office Google Data Analytics"
Intermediate,Engineering,"Machine Learning, MS Office",AWS Certified,67,Software Engineer,"Intermediate Engineering Machine Learning, MS Office AWS Certified"
Intermediate,Engineering,"Financial Analysis, SQL",CFA Level 1,88,Research Scientist,"Intermediate Engineering Financial Analysis, SQL CFA Level 1"
Matric,Finance,"MS Office, Python",Digital Marketing,65,Software Engineer,"Matric Finance MS Office, Python Digital Marketing"
Intermediate,Computer Science,"Counseling, Financial Analysis, Machine Learning",CFA Level 1,90,Business Analyst,"Intermediate Computer Science Counseling, Financial Analysis, Machine Learning CFA Level 1"
Matric,Engineering,Counseling,CFA Level 1,86,ML Engineer,Matric Engineering Counseling CFA Level 1
Intermediate,Engineering,Communication,Digital Marketing,63,Software Engineer,Intermediate Engineering Communication Digital Marketing
Bachelor's,Arts,"Counseling, SQL, Communication",AWS Certified,68,Business Analyst,"Bachelor's Arts Counseling, SQL, Communication AWS Certified"
Master's,Finance,"Machine Learning, Python, SQL",Google Data Analytics,65,Business Analyst,"Master's Finance Machine Learning, Python, SQL Google Data Analytics"
Matric,Engineering,Data Analysis,Mental Health Basics,81,Research Scientist,Matric Engineering Data Analysis Mental Health Basics
Intermediate,Business,Data Analysis,Creative Writing,69,Software Engineer,Intermediate Business Data Analysis Creative Writing
Matric,Finance,"SQL, Communication",AWS Certified,73,Business Analyst,"Matric Finance SQL, Communication AWS Certified"
PhD,Business,Data Analysis,Google Data Analytics,61,ML Engineer,PhD Business Data Analysis Google Data Analytics
Master's,Arts,"SQL, Counseling, Python",AWS Certified,88,Research Scientist,"Master's Arts SQL, Counseling, Python AWS Certified"
Master's,Arts,"Counseling, Data Analysis, MS Office",AWS Certified,70,Research Scientist,"Master's Arts Counseling, Data Analysis, MS Office AWS Certified"
Master's,Science,"Marketing, Data Analysis",CFA Level 1,71,Business Analyst,"Master's Science Marketing, Data Analysis CFA Level 1"
Matric,Science,Financial Analysis,CFA Level 1,76,Software Engineer,Matric Science Financial Analysis CFA Level 1
Bachelor's,Arts,"Python, Data Analysis",Mental Health Basics,84,ML Engineer,"Bachelor's Arts Python, Data Analysis Mental Health Basics"
PhD,Finance,"Python, Machine Learning, Financial Analysis",AWS Certified,70,Business Analyst,"PhD Finance Python, Machine Learning, Financial Analysis AWS Certified"
Bachelor's,Commerce,"Communication, Accounting, Counseling",Tally ERP,90,Software Engineer,"Bachelor's Commerce Communication, Accounting, Counseling Tally ERP"
Intermediate,Business,Counseling,Digital Marketing,86,Business Analyst,Intermediate Business Counseling Digital Marketing
Master's,Psychology,Machine Learning,CFA Level 1,82,Research Scientist,Master's Psychology Machine Learning CFA Level 1
PhD,Commerce,"Data Analysis, SQL",Digital Marketing,72,Research Scientist,"PhD Commerce Data Analysis, SQL Digital Marketing"
Intermediate,Business,"Communication, Financial Analysis, Counseling",CFA Level 1,81,Research Scientist,"Intermediate Business Communication, Financial Analysis, Counseling CFA Level 1"
Matric,Commerce,Counseling,CFA Level 1,70,ML Engineer,Matric Commerce Counseling CFA Level 1
PhD,Arts,"Counseling, Data Analysis",CFA Level 1,95,Business Analyst,"PhD Arts Counseling, Data Analysis CFA Level 1"
Master's,Science,SQL,AWS Certified,62,Software Engineer,Master's Science SQL AWS Certified
Matric,Commerce,"Financial Analysis, Data Analysis",Mental Health Basics,73,Research Scientist,"Matric Commerce Financial Analysis, Data Analysis Mental Health Basics"
Bachelor's,Science,Communication,AWS Certified,63,ML Engineer,Bachelor's Science Communication AWS Certified
Master's,Arts,Counseling,,65,Business Analyst,
Master's,Business,"Machine Learning, Communication, Accounting",,84,ML Engineer,
Bachelor's,Finance,Accounting,AWS Certified,91,Research Scientist,Bachelor's Finance Accounting AWS Certified
Intermediate,Arts,Accounting,Google Data Analytics,64,Research Scientist,Intermediate Arts Accounting Google Data Analytics
Matric,Business,"Marketing, Financial Analysis, Data Analysis",CFA Level 1,61,Business Analyst,"Matric Business Marketing, Financial Analysis, Data Analysis CFA Level 1"
Master's,Computer Science,MS Office,Digital Marketing,62,Research Scientist,Master's Computer Science MS Office Digital Marketing
Bachelor's,Commerce,"Financial Analysis, MS Office",,93,ML Engineer,
Bachelor's,Psychology,SQL,CFA Level 1,66,Research Scientist,Bachelor's Psychology SQL CFA Level 1
Bachelor's,Business,Machine Learning,Tally ERP,80,ML Engineer,Bachelor's Business Machine Learning Tally ERP
Matric,Science,"Data Analysis, Accounting, Python",AWS Certified,65,Business Analyst,"Matric Science Data Analysis, Accounting, Python AWS Certified"
Bachelor's,Computer Science,"Data Analysis, Communication",Creative Writing,78,Business Analyst,"Bachelor's Computer Science Data Analysis, Communication Creative Writing"
Intermediate,Computer Science,"MS Office, Accounting",Mental Health Basics,76,Research Scientist,"Intermediate Computer Science MS Office, Accounting Mental Health Basics"
PhD,Science,"Python, Machine Learning, Financial Analysis",AWS Certified,86,Research Scientist,"PhD Science Python, Machine Learning, Financial Analysis AWS Certified"
Matric,Computer Science,"Machine Learning, Accounting, MS Office",Mental Health Basics,83,Business Analyst,"Matric Computer Science Machine Learning, Accounting, MS Office Mental Health Basics"
Bachelor's,Computer Science,"MS Office, Python",Tally ERP,81,Research Scientist,"Bachelor's Computer Science MS Office, Python Tally ERP"
PhD,Engineering,"Data Analysis, Machine Learning, Accounting",Mental Health Basics,75,ML Engineer,"PhD Engineering Data Analysis, Machine Learning, Accounting Mental Health Basics"
Master's,Engineering,"Data Analysis, Accounting",AWS Certified,89,Research Scientist,"Master's Engineering Data Analysis, Accounting AWS Certified"
PhD,Arts,Machine Learning,Tally ERP,90,Research Scientist,PhD Arts Machine Learning Tally ERP
PhD,Computer Science,"Machine Learning, SQL, Financial Analysis",Digital Marketing,71,Business Analyst,"PhD Computer Science Machine Learning, SQL, Financial Analysis Digital Marketing"
Intermediate,Science,"Machine Learning, SQL",Creative Writing,65,Business Analyst,"Intermediate Science Machine Learning, SQL Creative Writing"
Matric,Engineering,Counseling,Mental Health Basics,80,Software Engineer,Matric Engineering Counseling Mental Health Basics
Matric,Business,"Counseling, MS Office, Data Analysis",Creative Writing,77,Research Scientist,"Matric Business Counseling, MS Office, Data Analysis Creative Writing"
PhD,Computer Science,"Financial Analysis, Data Analysis, Communication",Mental Health Basics,74,ML Engineer,"PhD Computer Science Financial Analysis, Data Analysis, Communication Mental Health Basics"
Intermediate,Finance,"Data Analysis, Marketing",Google Data Analytics,60,ML Engineer,"Intermediate Finance Data Analysis, Marketing Google Data Analytics"
PhD,Engineering,"Counseling, Python, Financial Analysis",Creative Writing,82,Research Scientist,"PhD Engineering Counseling, Python, Financial Analysis Creative Writing"
Bachelor's,Finance,Accounting,Google Data Analytics,60,ML Engineer,Bachelor's Finance Accounting Google Data Analytics
PhD,Business,"Counseling, SQL",Creative Writing,61,Research Scientist,"PhD Business Counseling, SQL Creative Writing"
Master's,Commerce,SQL,Mental Health Basics,69,Software Engineer,Master's Commerce SQL Mental Health Basics
PhD,Finance,"SQL, Data Analysis",Mental Health Basics,91,Research Scientist,"PhD Finance SQL, Data Analysis Mental Health Basics"
Bachelor's,Business,"Python, Counseling, SQL",Google Data Analytics,74,Business Analyst,"Bachelor's Business Python, Counseling, SQL Google Data Analytics"
Master's,Finance,"Marketing, SQL",Tally ERP,71,Software Engineer,"Master's Finance Marketing, SQL Tally ERP"
Master's,Engineering,"Python, Financial Analysis",AWS Certified,68,Software Engineer,"Master's Engineering Python, Financial Analysis AWS Certified"
Master's,Engineering,"Financial Analysis, SQL",Creative Writing,79,Software Engineer,"Master's Engineering Financial Analysis, SQL Creative Writing"
Intermediate,Computer Science,"Accounting, Communication, Financial Analysis",Google Data Analytics,95,ML Engineer,"Intermediate Computer Science Accounting, Communication, Financial Analysis Google Data Analytics"
PhD,Computer Science,"Machine Learning, Counseling, Communication",Mental Health Basics,91,ML Engineer,"PhD Computer Science Machine Learning, Counseling, Communication Mental Health Basics"
PhD,Commerce,Counseling,Creative Writing,81,Software Engineer,PhD Commerce Counseling Creative Writing
Master's,Psychology,SQL,,83,Software Engineer,
Matric,Science,Counseling,Mental Health Basics,86,Software Engineer,Matric Science Counseling Mental Health Basics
PhD,Arts,"Accounting, MS Office",Tally ERP,94,Research Scientist,"PhD Arts Accounting, MS Office Tally ERP"
PhD,Psychology,"Communication, MS Office",Tally ERP,70,Software Engineer,"PhD Psychology Communication, MS Office Tally ERP"
Intermediate,Commerce,"Counseling, Python, MS Office",CFA Level 1,95,Research Scientist,"Intermediate Commerce Counseling, Python, MS Office CFA Level 1"
Intermediate,Psychology,Marketing,Google Data Analytics,73,Software Engineer,Intermediate Psychology Marketing Google Data Analytics
Matric,Engineering,"Marketing, MS Office",Mental Health Basics,94,Business Analyst,"Matric Engineering Marketing, MS Office Mental Health Basics"
Matric,Business,Marketing,,72,Business Analyst,
Matric,Arts,"Accounting, Python, Data Analysis",AWS Certified,85,Research Scientist,"Matric Arts Accounting, Python, Data Analysis AWS Certified"
Master's,Commerce,"Financial Analysis, SQL",CFA Level 1,67,ML Engineer,"Master's Commerce Financial Analysis, SQL CFA Level 1"
PhD,Computer Science,MS Office,Mental Health Basics,95,Research Scientist,PhD Computer Science MS Office Mental Health Basics
PhD,Psychology,"Python, Counseling",AWS Certified,80,ML Engineer,"PhD Psychology Python, Counseling AWS Certified"
Master's,Commerce,Machine Learning,Creative Writing,61,Software Engineer,Master's Commerce Machine Learning Creative Writing
Intermediate,Engineering,Marketing,CFA Level 1,88,Business Analyst,Intermediate Engineering Marketing CFA Level 1
PhD,Finance,"Marketing, Data Analysis",,76,Business Analyst,
Intermediate,Engineering,"Marketing, Machine Learning",Google Data Analytics,73,ML Engineer,"Intermediate Engineering Marketing, Machine Learning Google Data Analytics"
Bachelor's,Business,"Communication, SQL",Tally ERP,85,Research Scientist,"Bachelor's Business Communication, SQL Tally ERP"
Intermediate,Arts,"Counseling, Marketing",Digital Marketing,76,Software Engineer,"Intermediate Arts Counseling, Marketing Digital Marketing"
